test_hub,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows
TTF,fednova,fednova,0,1,5,3,0.001,,0.18944630547358407,0.15517263024378472,5.802135145252912,4.820187523679207,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fednova,fednova,0,2,5,3,0.001,,0.1449819516299007,0.1186361468971265,4.656421351713001,3.806321575246625,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fednova,fednova,0,3,5,3,0.001,,0.10502578137403029,0.088413258835918,3.4620101776435708,2.884220326080161,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fednova,fednova,0,4,5,3,0.001,,0.07687614990522516,0.0636315558971916,2.5493366183265507,2.096765575025041,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fednova,fednova,0,5,5,3,0.001,,0.06676834589093511,0.048957732525827774,2.1978213368788557,1.615196690750324,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fednova,fednova,0,6,5,3,0.001,,0.061882159803446316,0.04380216334958292,2.0371785942105025,1.4478171511090405,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fednova,fednova,0,7,5,3,0.001,,0.058010424455444715,0.041829838298095424,1.9159063743729707,1.3833199788705777,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fednova,fednova,0,8,5,3,0.001,,0.05356718835722306,0.03871855796295044,1.780639013402803,1.288647177449727,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fednova,fednova,0,9,5,3,0.001,,0.05058165253610257,0.0366757930447821,1.6891277066112391,1.2263610466072115,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fednova,fednova,0,10,5,3,0.001,,0.047912048611263046,0.03551557678946341,1.6071121735720462,1.1891466060290903,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
