test_hub,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows
TTF,scaffold,scaffold,0,1,5,3,0.001,,0.13556994215223309,0.10709201528343483,5.154132958261961,3.8594746919001564,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,2,5,3,0.001,,0.09243344914459425,0.07889414672992366,3.27627716704088,2.723877384104971,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,3,5,3,0.001,,0.09092364714765383,0.07802281372438548,3.2078945352044164,2.6902334221338817,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,4,5,3,0.001,,0.10372747295691259,0.08729230300760117,3.4217026171634304,2.9118940625574625,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,5,5,3,0.001,,0.11598481914398522,0.09491298942810904,3.7818115582113294,3.1369379373899964,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,6,5,3,0.001,,0.14301229019663494,0.11244592044534067,4.694223969689139,3.7203803050204853,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,7,5,3,0.001,,0.16165984832252941,0.1267936960409269,5.370429641221331,4.231120443794687,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,8,5,3,0.001,,0.19060270480746755,0.14621935670966504,6.466320293017617,4.952414378239947,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,9,5,3,0.001,,0.21793688491033655,0.17040341836597644,7.534687395750204,5.879969667001297,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,10,5,3,0.001,,0.2485145809471001,0.20157632885019341,8.72415775708593,7.043623708010731,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,11,5,3,0.001,,0.28966669985553917,0.2437454625407739,10.303371024995062,8.573440304882446,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,12,5,3,0.001,,0.3347170826586763,0.288965089153893,11.929493198409727,10.139007158290532,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,13,5,3,0.001,,0.3845490075824208,0.33634967265563814,13.621766207376245,11.715804814083093,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,14,5,3,0.001,,0.4376522252037398,0.3854674869315636,15.360094694749765,13.314740480145154,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,15,5,3,0.001,,0.4917367975621741,0.43343188992693577,16.89324986153996,14.731050419996857,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,16,5,3,0.001,,0.5499746066503758,0.48268992296159585,18.379226150247426,16.085668602927758,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,17,5,3,0.001,,0.6038809927438369,0.5261896622655282,19.53269790516671,17.139493586493245,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,18,5,3,0.001,,0.6526738598301475,0.5657704375956555,20.60578231375441,18.122824747491183,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,scaffold,scaffold,0,19,5,3,0.001,,0.6904697340409274,0.5971170704894684,21.510456171150192,18.95551350585788,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
