date,mid_mean,mid_std,spread_mean,spread_std,n_agents_total,n_agents_with_quotes,quote_coverage,abides_price,fills_sum,vol_sum,fills_buy,fills_sell,vol_buy,vol_sell,fills_total,vol_total,last_trade,fills_mean,vol_mean,y_next_day_abides,ttf_price,fills_sum_lag1,fills_sum_lag2,fills_sum_lag3,fills_mean_lag1,fills_mean_lag2,fills_mean_lag3,vol_sum_lag1,vol_sum_lag2,vol_sum_lag3,vol_mean_lag1,vol_mean_lag2,vol_mean_lag3,quote_coverage_lag1,quote_coverage_lag2,quote_coverage_lag3,abides_price_lag1,abides_price_lag2,abides_price_lag3,mid_mean_lag1,mid_mean_lag2,mid_mean_lag3,mid_std_lag1,mid_std_lag2,mid_std_lag3,spread_mean_lag1,spread_mean_lag2,spread_mean_lag3,spread_std_lag1,spread_std_lag2,spread_std_lag3
2025-12-29,9.795359917355372,0.22380584466129896,0.010557438016528925,0.03318992320776948,1114,242,0.21723518850987433,29.116,503.0,7727.0,229.0,274.0,4148.0,3579.0,503.0,7727.0,294723.0,0.45152603231597843,6.936265709156194,28.642,29.116,473.0,503.0,503.0,0.4245960502692998,0.45152603231597843,0.45152603231597843,7543.0,7727.0,7727.0,6.771095152603231,6.936265709156194,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,29.16,29.092,28.409,9.795359917355372,9.795359917355372,9.795359917355372,0.2238058446613006,0.22380584466129788,0.22380584466129866,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.03318992320776948,0.033189923207769485,0.033189923207769485
2025-12-30,9.795359917355372,0.2238058446612991,0.010557438016528925,0.03318992320776948,1114,242,0.21723518850987433,28.642,503.0,7727.0,229.0,274.0,4148.0,3579.0,503.0,7727.0,289983.0,0.45152603231597843,6.936265709156194,27.952,28.642,503.0,473.0,503.0,0.45152603231597843,0.4245960502692998,0.45152603231597843,7727.0,7543.0,7727.0,6.936265709156194,6.771095152603231,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,29.116,29.16,29.092,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129896,0.2238058446613006,0.22380584466129788,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.03318992320776948,0.03318992320776948,0.033189923207769485
2025-12-31,9.795359917355372,0.2238058446612987,0.010557438016528925,0.03318992320776948,1114,242,0.21723518850987433,27.952,503.0,7727.0,229.0,274.0,4148.0,3579.0,503.0,7727.0,283082.0,0.45152603231597843,6.936265709156194,28.131,27.952,503.0,503.0,473.0,0.45152603231597843,0.45152603231597843,0.4245960502692998,7727.0,7727.0,7543.0,6.936265709156194,6.936265709156194,6.771095152603231,0.21723518850987433,0.21723518850987433,0.21723518850987433,28.642,29.116,29.16,9.795359917355372,9.795359917355372,9.795359917355372,0.2238058446612991,0.22380584466129896,0.2238058446613006,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.03318992320776948,0.03318992320776948,0.03318992320776948
2026-01-01,9.795359917355372,0.22380584466129863,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,28.131,503.0,7727.0,229.0,274.0,4148.0,3579.0,503.0,7727.0,284872.0,0.45152603231597843,6.936265709156194,28.279,28.131,503.0,503.0,503.0,0.45152603231597843,0.45152603231597843,0.45152603231597843,7727.0,7727.0,7727.0,6.936265709156194,6.936265709156194,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,27.952,28.642,29.116,9.795359917355372,9.795359917355372,9.795359917355372,0.2238058446612987,0.2238058446612991,0.22380584466129896,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.03318992320776948,0.03318992320776948,0.03318992320776948
2026-01-02,9.795359917355372,0.22380584466129855,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,28.279,503.0,7727.0,229.0,274.0,4148.0,3579.0,503.0,7727.0,286352.0,0.45152603231597843,6.936265709156194,29.039,28.279,503.0,503.0,503.0,0.45152603231597843,0.45152603231597843,0.45152603231597843,7727.0,7727.0,7727.0,6.936265709156194,6.936265709156194,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,28.131,27.952,28.642,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129863,0.2238058446612987,0.2238058446612991,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.03318992320776948,0.03318992320776948
2026-01-03,9.795359917355372,0.22380584466129852,0.010557438016528925,0.0331899232077695,1114,242,0.21723518850987433,29.039,503.0,7727.0,229.0,274.0,4148.0,3579.0,503.0,7727.0,293953.0,0.45152603231597843,6.936265709156194,29.094,29.039,503.0,503.0,503.0,0.45152603231597843,0.45152603231597843,0.45152603231597843,7727.0,7727.0,7727.0,6.936265709156194,6.936265709156194,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,28.279,28.131,27.952,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129855,0.22380584466129863,0.2238058446612987,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.033189923207769485,0.03318992320776948
2026-01-04,9.795359917355372,0.22380584466129957,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,29.094,503.0,7727.0,229.0,274.0,4148.0,3579.0,503.0,7727.0,294503.0,0.45152603231597843,6.936265709156194,29.557,29.094,503.0,503.0,503.0,0.45152603231597843,0.45152603231597843,0.45152603231597843,7727.0,7727.0,7727.0,6.936265709156194,6.936265709156194,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,29.039,28.279,28.131,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129852,0.22380584466129855,0.22380584466129863,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.0331899232077695,0.033189923207769485,0.033189923207769485
2026-01-05,9.795359917355372,0.22380584466129907,0.010557438016528925,0.03318992320776949,1114,242,0.21723518850987433,29.557,473.0,7543.0,228.0,245.0,4407.0,3136.0,473.0,7543.0,302119.0,0.4245960502692998,6.771095152603231,28.267,29.557,503.0,503.0,503.0,0.45152603231597843,0.45152603231597843,0.45152603231597843,7727.0,7727.0,7727.0,6.936265709156194,6.936265709156194,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,29.094,29.039,28.279,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129957,0.22380584466129852,0.22380584466129855,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.0331899232077695,0.033189923207769485
2026-01-06,9.795359917355372,0.22380584466129838,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,28.267,503.0,7727.0,229.0,274.0,4148.0,3579.0,503.0,7727.0,286232.0,0.45152603231597843,6.936265709156194,28.751,28.267,473.0,503.0,503.0,0.4245960502692998,0.45152603231597843,0.45152603231597843,7543.0,7727.0,7727.0,6.771095152603231,6.936265709156194,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,29.557,29.094,29.039,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129907,0.22380584466129957,0.22380584466129852,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.03318992320776949,0.033189923207769485,0.0331899232077695
2026-01-07,9.795359917355372,0.22380584466129902,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,28.751,503.0,7727.0,229.0,274.0,4148.0,3579.0,503.0,7727.0,291073.0,0.45152603231597843,6.936265709156194,29.447,28.751,503.0,473.0,503.0,0.45152603231597843,0.4245960502692998,0.45152603231597843,7727.0,7543.0,7727.0,6.936265709156194,6.771095152603231,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,28.267,29.557,29.094,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129838,0.22380584466129907,0.22380584466129957,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.03318992320776949,0.033189923207769485
