round,test_rmse
1,3.128664493560791
2,3.1028571128845215
3,3.0753586292266846
4,3.0488510131835938
5,3.0196943283081055
6,2.992170810699463
7,2.9704809188842773
8,2.9479737281799316
9,2.9232444763183594
10,2.899573802947998
11,2.876692056655884
12,2.8509597778320312
13,2.8257861137390137
14,2.7967448234558105
15,2.7668662071228027
16,2.741001605987549
17,2.7125394344329834
18,2.6850972175598145
19,2.659757137298584
20,2.6321799755096436
21,2.6052846908569336
22,2.582549810409546
23,2.5636017322540283
24,2.5462193489074707
25,2.533137798309326
26,2.51753568649292
27,2.5010130405426025
28,2.4897894859313965
29,2.4765450954437256
30,2.464365005493164
31,2.4560797214508057
32,2.445897102355957
33,2.4367926120758057
34,2.4289071559906006
35,2.4219915866851807
36,2.4146225452423096
37,2.409478187561035
38,2.4054031372070312
39,2.4002580642700195
40,2.3946802616119385
41,2.392409324645996
42,2.383902072906494
43,2.379725217819214
44,2.3765780925750732
45,2.3746936321258545
46,2.3739891052246094
47,2.374282121658325
48,2.3755507469177246
49,2.3777976036071777
50,2.3800909519195557
51,2.384314775466919
52,2.389838695526123
53,2.3960952758789062
54,2.4031624794006348
55,2.4113106727600098
56,2.4200005531311035
