round,test_rmse
1,7.009892463684082
2,6.873517036437988
3,6.734351634979248
4,6.563670635223389
5,6.335864067077637
6,6.057747840881348
7,5.722092151641846
8,5.322440147399902
9,4.853225231170654
10,4.308629512786865
11,3.683121919631958
12,2.971362352371216
13,2.1686272621154785
14,1.2724038362503052
15,0.29583412408828735
16,0.1306854486465454
17,0.0845765545964241
18,0.08422721177339554
19,0.08420110493898392
20,0.08419588208198547
21,0.08419303596019745
22,0.08419114351272583
23,0.084187813103199
24,0.08418496698141098
25,0.08418259769678116
26,0.08417879790067673
27,0.0841764286160469
28,0.08417452871799469
29,0.08417167514562607
30,0.08416930586099625
