test_hub,algo,round,train_hubs,clients_per_round,local_epochs,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied
TTF,fedavg,1,FIN|LTU|LVA-EST,3,5,0.001,,0.0037683919072151184,0.0037683919072151184,0.1094222748279563,0.1094222748279563
TTF,fedavg,2,FIN|LTU|LVA-EST,3,5,0.001,,0.0010569505393505096,0.0010569505393505096,0.030730849027634122,0.030730849027634122
TTF,fedavg,3,FIN|LTU|LVA-EST,3,5,0.001,,0.007099539041519165,0.007099539041519165,0.20580877292156075,0.20580877292156075
TTF,fedavg,4,FIN|LTU|LVA-EST,3,5,0.001,,0.01122472807765007,0.01122472807765007,0.32472304534912055,0.32472304534912055
TTF,fedavg,5,FIN|LTU|LVA-EST,3,5,0.001,,0.012483183294534683,0.012483183294534683,0.3609022716283796,0.3609022716283796
TTF,fedavg,6,FIN|LTU|LVA-EST,3,5,0.001,,0.01244976744055748,0.01244976744055748,0.35994385910034055,0.35994385910034055
TTF,fedavg,7,FIN|LTU|LVA-EST,3,5,0.001,,0.01119997724890709,0.01119997724890709,0.32401185584068415,0.32401185584068415
TTF,fedavg,8,FIN|LTU|LVA-EST,3,5,0.001,,0.010404534637928009,0.010404534637928009,0.30111832690239027,0.30111832690239027
TTF,fedavg,9,FIN|LTU|LVA-EST,3,5,0.001,,0.012952737510204315,0.012952737510204315,0.3743911659717547,0.3743911659717547
TTF,fedavg,10,FIN|LTU|LVA-EST,3,5,0.001,,0.01264156773686409,0.01264156773686409,0.3654538844823847,0.3654538844823847
TTF,fedavg,11,FIN|LTU|LVA-EST,3,5,0.001,,0.011478602886199951,0.011478602886199951,0.332024590969084,0.332024590969084
TTF,fedavg,12,FIN|LTU|LVA-EST,3,5,0.001,,0.012768726795911789,0.012768726795911789,0.36910465729236464,0.36910465729236464
TTF,fedavg,13,FIN|LTU|LVA-EST,3,5,0.001,,0.014272112399339676,0.014272112399339676,0.4122569273710255,0.4122569273710255
TTF,fedavg,14,FIN|LTU|LVA-EST,3,5,0.001,,0.014850340783596039,0.014850340783596039,0.428834416151048,0.428834416151048
TTF,fedavg,15,FIN|LTU|LVA-EST,3,5,0.001,,0.013724811375141144,0.013724811375141144,0.39655318570137155,0.39655318570137155
TTF,fedavg,16,FIN|LTU|LVA-EST,3,5,0.001,,0.014511004090309143,0.014511004090309143,0.41910466635227195,0.41910466635227195
TTF,fedavg,17,FIN|LTU|LVA-EST,3,5,0.001,,0.01652470976114273,0.01652470976114273,0.4767855221033095,0.4767855221033095
TTF,fedavg,18,FIN|LTU|LVA-EST,3,5,0.001,,0.015625588595867157,0.015625588595867157,0.4510472351312629,0.4510472351312629
TTF,fedavg,19,FIN|LTU|LVA-EST,3,5,0.001,,0.01519378274679184,0.01519378274679184,0.43867592430114755,0.43867592430114755
TTF,fedavg,20,FIN|LTU|LVA-EST,3,5,0.001,,0.015750329941511154,0.015750329941511154,0.45462011575698824,0.45462011575698824
TTF,fedavg,21,FIN|LTU|LVA-EST,3,5,0.001,,0.016558226197957993,0.016558226197957993,0.47774732124805297,0.47774732124805297
TTF,fedavg,22,FIN|LTU|LVA-EST,3,5,0.001,,0.017264779657125473,0.017264779657125473,0.49795526313781835,0.49795526313781835
TTF,fedavg,23,FIN|LTU|LVA-EST,3,5,0.001,,0.015003170818090439,0.015003170818090439,0.4332133115530006,0.4332133115530006
TTF,fedavg,24,FIN|LTU|LVA-EST,3,5,0.001,,0.017672207206487656,0.017672207206487656,0.5096052246093734,0.5096052246093734
TTF,fedavg,25,FIN|LTU|LVA-EST,3,5,0.001,,0.018436510115861893,0.018436510115861893,0.531442129135133,0.531442129135133
TTF,fedavg,26,FIN|LTU|LVA-EST,3,5,0.001,,0.01839273050427437,0.01839273050427437,0.5301890809535976,0.5301890809535976
TTF,fedavg,27,FIN|LTU|LVA-EST,3,5,0.001,,0.018593180924654007,0.018593180924654007,0.5359158498048764,0.5359158498048764
TTF,fedavg,28,FIN|LTU|LVA-EST,3,5,0.001,,0.018379222601652145,0.018379222601652145,0.5298063932657229,0.5298063932657229
TTF,fedavg,29,FIN|LTU|LVA-EST,3,5,0.001,,0.017808184027671814,0.017808184027671814,0.5134896739721313,0.5134896739721313
TTF,fedavg,30,FIN|LTU|LVA-EST,3,5,0.001,,0.017690103501081467,0.017690103501081467,0.5101166037321079,0.5101166037321079
TTF,fedavg,31,FIN|LTU|LVA-EST,3,5,0.001,,0.017230212688446045,0.017230212688446045,0.4969663710594183,0.4969663710594183
TTF,fedavg,32,FIN|LTU|LVA-EST,3,5,0.001,,0.021011225879192352,0.021011225879192352,0.604880912423134,0.604880912423134
