test_hub,algo,round,train_hubs,clients_per_round,local_epochs,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied
FIN,fedavg,1,LTU|LVA-EST|TTF,3,5,0.001,,0.13683333729840894,0.10074357653652911,8.082010987000979,5.419852109561706
FIN,fedavg,2,LTU|LVA-EST|TTF,3,5,0.001,,0.12087581890219119,0.07798865139394083,7.263110734651292,4.168454311156068
FIN,fedavg,3,LTU|LVA-EST|TTF,3,5,0.001,,0.11586145057545459,0.07234752885164324,7.144146124805732,3.965647255182267
FIN,fedavg,4,LTU|LVA-EST|TTF,3,5,0.001,,0.11386430607825733,0.06495835415161905,7.1609721006801825,3.622734830766915
FIN,fedavg,5,LTU|LVA-EST|TTF,3,5,0.001,,0.11351221999017383,0.06311061334693885,7.173842795302825,3.5325599295938837
FIN,fedavg,6,LTU|LVA-EST|TTF,3,5,0.001,,0.11380795326222096,0.06198333960341627,7.2184459279631294,3.480833467546208
FIN,fedavg,7,LTU|LVA-EST|TTF,3,5,0.001,,0.11367731247418285,0.06164945140410744,7.2130379215152,3.4618284394504695
FIN,fedavg,8,LTU|LVA-EST|TTF,3,5,0.001,,0.11368590567675495,0.061824442548295964,7.2115165787587605,3.472296658291899
FIN,fedavg,9,LTU|LVA-EST|TTF,3,5,0.001,,0.11357964903387378,0.061112870223888456,7.214294278453025,3.439162887689368
FIN,fedavg,10,LTU|LVA-EST|TTF,3,5,0.001,,0.11324715462404557,0.06098887830388588,7.187556146213196,3.428032328453557
FIN,fedavg,11,LTU|LVA-EST|TTF,3,5,0.001,,0.11341471386022918,0.0607090435168457,7.2060554172447455,3.4188766714704455
FIN,fedavg,12,LTU|LVA-EST|TTF,3,5,0.001,,0.11356320108150153,0.06077574018704111,7.216972803026718,3.4263166160717087
FIN,fedavg,13,LTU|LVA-EST|TTF,3,5,0.001,,0.11367763205443197,0.06084106302396635,7.226166698970987,3.433630887994478
FIN,fedavg,14,LTU|LVA-EST|TTF,3,5,0.001,,0.11356749961118541,0.060348931136480856,7.226405231896344,3.4112312072217468
FIN,fedavg,15,LTU|LVA-EST|TTF,3,5,0.001,,0.11362471424043093,0.06072963612276563,7.221897110403107,3.42750002588897
FIN,fedavg,16,LTU|LVA-EST|TTF,3,5,0.001,,0.11362246628890854,0.060453207892915715,7.229129633881376,3.4181977531642747
FIN,fedavg,17,LTU|LVA-EST|TTF,3,5,0.001,,0.11351383217848829,0.06038628269542924,7.215214200548739,3.4097612976534606
FIN,fedavg,18,LTU|LVA-EST|TTF,3,5,0.001,,0.11338184999931654,0.06000234772589716,7.215552492939858,3.3933176777660843
FIN,fedavg,19,LTU|LVA-EST|TTF,3,5,0.001,,0.11360830128581778,0.06057121828128182,7.223434113807367,3.423735864876673
FIN,fedavg,20,LTU|LVA-EST|TTF,3,5,0.001,,0.11368138477223638,0.06033008351594868,7.235563920773178,3.4160768681497404
FIN,fedavg,21,LTU|LVA-EST|TTF,3,5,0.001,,0.11391098173372624,0.060401488595806734,7.249770580910943,3.4205916771868177
FIN,fedavg,22,LTU|LVA-EST|TTF,3,5,0.001,,0.11370233520485158,0.06037737492016308,7.234065725944518,3.4176336086515717
