test_hub,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows
FIN,fedavg,fedavg,0,30,5,3,0.001,,0.11212854473952512,0.06000173169515369,7.126771226912855,3.3992766595174535,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
FIN,fedavg,fedavg,1,50,5,3,0.001,,0.1132184675314588,0.060314078750550455,7.204735329931184,3.431808355281066,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
FIN,fedavg,fedavg,2,82,5,3,0.001,,0.11170362896651939,0.05989665209450197,7.0961501921712475,3.393998642184611,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
FIN,fedavg,fedavg,3,106,5,3,0.001,,0.1132628205412425,0.06090061172515812,7.200312531691338,3.46268039473994,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
FIN,fedavg,fedavg,4,7,5,3,0.001,,0.11468422333745812,0.06375442881484371,7.285123336791446,3.6163794480531384,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
LTU,fedavg,fedavg,0,47,5,3,0.001,,0.028281307480503875,0.023864687421682275,1.2898924009376567,1.0868442498363309,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58
LTU,fedavg,fedavg,1,77,5,3,0.001,,0.027250341430628516,0.022083901143121004,1.248290657598651,1.0090268381525733,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58
LTU,fedavg,fedavg,2,132,5,3,0.001,,0.027057457146620105,0.022279675585540927,1.2479039539050072,1.023236071896965,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58
LTU,fedavg,fedavg,3,21,5,3,0.001,,0.02723791386911331,0.021975791452358204,1.2614813077235063,1.005555219303946,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58
LTU,fedavg,fedavg,4,158,5,3,0.001,,0.027623586379529337,0.022677231372528757,1.252180990644049,1.0276625726767663,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58
LVA-EST,fedavg,fedavg,0,96,5,3,0.001,,0.02799910285850616,0.02200414414882885,1.30259898864922,1.0095618682822272,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,58
LVA-EST,fedavg,fedavg,1,37,5,3,0.001,,0.02642047399372017,0.021141664047749583,1.2222834089315766,0.965659517227576,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,58
LVA-EST,fedavg,fedavg,2,65,5,3,0.001,,0.02654047087727672,0.02136098700555459,1.2356111627487671,0.9771412408495768,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,58
LVA-EST,fedavg,fedavg,3,146,5,3,0.001,,0.025575492386855976,0.020022341550994215,1.1784728419070336,0.9134568362873177,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,58
LVA-EST,fedavg,fedavg,4,18,5,3,0.001,,0.025377001665707305,0.02011012887995658,1.1778072614437696,0.9203910314954559,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,58
TTF,fedavg,fedavg,0,35,5,3,0.001,,0.0386221129046694,0.029358194092233364,1.3205071803162698,0.9920512235679865,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fedavg,fedavg,1,31,5,3,0.001,,0.037792438777330295,0.029282571977769987,1.2789667383519565,0.9789397931119141,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fedavg,fedavg,2,51,5,3,0.001,,0.03840579070728114,0.030030384562096668,1.3109872995172018,1.0108872359677892,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fedavg,fedavg,3,43,5,3,0.001,,0.03770473548045343,0.028625349649346543,1.298573158700333,0.9738737880567373,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,fedavg,fedavg,4,20,5,3,0.001,,0.03588916038405118,0.02725975249373054,1.2417776346000262,0.9305059129878626,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
FIN,fedprox,fedavg,0,189,5,3,0.001,0.01,0.11466382036323211,0.06024696917026223,7.286861147529113,3.4189245575830856,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
FIN,fedprox,fedavg,1,22,5,3,0.001,0.01,0.11284456874025235,0.06222759382066654,7.14943740765958,3.5016294880673806,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
FIN,fedprox,fedavg,2,170,5,3,0.001,0.01,0.11453943889309794,0.060678623811891784,7.2813929188509645,3.446860307306051,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
FIN,fedprox,fedavg,3,71,5,3,0.001,0.01,0.1135932029597758,0.06065707220565447,7.220151535533177,3.4411768243631413,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
FIN,fedprox,fedavg,4,4,5,3,0.001,0.01,0.11578142006656639,0.06416829466139336,7.364833778399927,3.666577787714786,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58
LTU,fedprox,fedavg,0,169,5,3,0.001,0.01,0.027863012924335528,0.023001008250816836,1.2797221726030725,1.0479373377273826,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58
LTU,fedprox,fedavg,1,21,5,3,0.001,0.01,0.02928912181635152,0.023319940405129053,1.3693952657055908,1.0744441485302205,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58
LTU,fedprox,fedavg,2,124,5,3,0.001,0.01,0.02755611276980917,0.02273693672860049,1.2649740418790179,1.039445286548344,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58
