test_hub,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows
NBP,fedavg,fedavg,0,57,5,1,0.001,,0.06518509075511675,0.04351924658695207,1.9064121555520464,0.904718498881892,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,1,75,5,1,0.001,,0.06522521368101292,0.04357295594512551,1.907787710716172,0.9060995111416957,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,2,40,5,1,0.001,,0.06515935413138572,0.04342690179554007,1.9061777297309779,0.9036818711919202,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,3,48,5,1,0.001,,0.0651904804692304,0.04351896138848162,1.906779058314059,0.9048822294745695,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,4,105,5,1,0.001,,0.06520784309995907,0.04351544381505733,1.9072025014307779,0.9051553724703231,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
TTF,fedavg,fedavg,0,61,5,1,0.001,,0.055587019894286493,0.03822226032256306,5.9699484945413115,2.7243790863026813,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedavg,fedavg,1,46,5,1,0.001,,0.05553193359549238,0.03811884206656039,5.968485356609946,2.7208062917658338,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedavg,fedavg,2,14,5,1,0.001,,0.05550888588783864,0.038057686583346545,5.967594078520389,2.7183471504453345,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedavg,fedavg,3,197,5,1,0.001,,0.055490434153724254,0.03804563397946262,5.967080163846723,2.717436207066132,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedavg,fedavg,4,61,5,1,0.001,,0.05545476211299494,0.038042963994797736,5.964218855773586,2.7165137081948068,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
NBP,fedprox,fedavg,0,55,5,1,0.001,0.01,0.06526180803201911,0.04361508196162903,1.9069667167484792,0.9059251329431874,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedprox,fedavg,1,49,5,1,0.001,0.01,0.06527795676518318,0.043627880161673155,1.9064245451315809,0.9058051477279552,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedprox,fedavg,2,46,5,1,0.001,0.01,0.06525508887785222,0.04360220333696741,1.9089467257387582,0.9070539233724196,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedprox,fedavg,3,43,5,1,0.001,0.01,0.06523805765716452,0.04356883409401825,1.9061155064861217,0.9049468316080483,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedprox,fedavg,4,195,5,1,0.001,0.01,0.0652549441105327,0.04359019782756856,1.907025862787631,0.9057699986101553,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
TTF,fedprox,fedavg,0,22,5,1,0.001,0.01,0.05551981327250132,0.03812021259275136,5.9669923840786945,2.719975245041979,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedprox,fedavg,1,69,5,1,0.001,0.01,0.05550090599739437,0.03808263345461946,5.969584860859909,2.720041789482667,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedprox,fedavg,2,134,5,1,0.001,0.01,0.05551447523503405,0.03807381913488842,5.969282931849993,2.7195006286458465,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedprox,fedavg,3,46,5,1,0.001,0.01,0.05554197403490306,0.03815429629195544,5.9689884371560895,2.7218548029953524,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedprox,fedavg,4,50,5,1,0.001,0.01,0.05556016786671156,0.03817252472042165,5.968374723102099,2.722122912072935,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
NBP,fednova,fednova,0,108,5,1,0.001,,0.06520576932327965,0.043522704792794714,1.9067048750720341,0.9049032484397791,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fednova,fednova,1,163,5,1,0.001,,0.0651805214993564,0.043513187737346554,1.9075079718131347,0.9053760732457381,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fednova,fednova,2,104,5,1,0.001,,0.0652055401556281,0.04352451949027776,1.9075297771924828,0.9054019965108736,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fednova,fednova,3,52,5,1,0.001,,0.06522187894166143,0.04355802089123389,1.9063503974117393,0.905036076976505,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fednova,fednova,4,96,5,1,0.001,,0.06517870263951615,0.043501583644863694,1.9061846047896553,0.9044093581467366,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
TTF,fednova,fednova,0,36,5,1,0.001,,0.055472579457304674,0.03804148564081158,5.965167327683442,2.7168429858590963,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fednova,fednova,1,160,5,1,0.001,,0.05552612464408725,0.03813685190498529,5.968540556028857,2.7210328129617767,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fednova,fednova,2,42,5,1,0.001,,0.05548334448235392,0.038060258032077375,5.96704819239586,2.7182665571249807,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fednova,fednova,3,40,5,1,0.001,,0.05559821302185042,0.03822662045656833,5.968610767037523,2.7239783300932183,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fednova,fednova,4,193,5,1,0.001,,0.05549093375957041,0.03807478943209195,5.968951023437133,2.7196742543729657,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
