test_hub,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows
NBP,fedavg,fedavg,0,1,5,1,0.001,,0.0715053874969124,0.05056462136363943,1.9952692152133558,1.0097295699089863,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,2,5,1,0.001,,0.06581647023951742,0.04413804198064418,1.9089071409430007,0.9120328844862743,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,3,5,1,0.001,,0.06562968059076017,0.04402859246873505,1.910353102108579,0.9120069052595559,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,4,5,1,0.001,,0.06538847440261764,0.0437390249916471,1.906096205291241,0.9066505428941367,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,5,5,1,0.001,,0.06529576441044177,0.043694956844073554,1.9076535534830068,0.9072146377890669,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,6,5,1,0.001,,0.06536904059419371,0.043756634876972574,1.910212625719189,0.9088313734007647,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,7,5,1,0.001,,0.06527369941466964,0.04367971956461802,1.9088567396857665,0.9077554108552589,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,8,5,1,0.001,,0.06540657068522396,0.043775904277546226,1.9094429867255582,0.9088456313894014,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,9,5,1,0.001,,0.06570718079280874,0.04410956881736507,1.9108199020158534,0.9127948947327271,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,10,5,1,0.001,,0.06561870275619737,0.04397090821041037,1.9046260082888566,0.9073807785963889,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,11,5,1,0.001,,0.06530850198241614,0.04365382154683011,1.9087815756916964,0.9073846867818566,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,12,5,1,0.001,,0.06539097347503332,0.043792018814520654,1.9045310329017286,0.906007782967856,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,13,5,1,0.001,,0.06556224522220265,0.04398789150134913,1.9048264141205713,0.907779672157484,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,14,5,1,0.001,,0.06533356068168761,0.04365484180905252,1.9074857709269624,0.9067155737990735,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,15,5,1,0.001,,0.0654611909540933,0.04381704949941402,1.9064914772627417,0.9074806747661128,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,16,5,1,0.001,,0.06568726054660237,0.04418944858148627,1.9181332572197063,0.9175066441116883,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,17,5,1,0.001,,0.06523867763025483,0.043596323937435275,1.9057270685892587,0.9051116999103307,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,18,5,1,0.001,,0.06537350301934912,0.04370980859525373,1.9086462582094126,0.9078564784469728,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,19,5,1,0.001,,0.06524113023610377,0.04357155489623952,1.9070233503371268,0.9056890020214512,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,20,5,1,0.001,,0.06534544640704205,0.043745213937512815,1.9084048768077482,0.9080683254937424,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,21,5,1,0.001,,0.06536053307187918,0.04376224791938285,1.9118318076423901,0.9101564673695213,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,22,5,1,0.001,,0.06541627036065684,0.04382020416124996,1.91022338495555,0.9099091949103049,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,23,5,1,0.001,,0.06530559229674764,0.043723639889211484,1.9068311247337952,0.9068080418551895,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,24,5,1,0.001,,0.06528783973132908,0.04364488469234303,1.9087555320551006,0.9071902328746563,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,25,5,1,0.001,,0.06544583528934318,0.04384457991422521,1.906568079379976,0.9077245515499526,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,26,5,1,0.001,,0.06538367301281132,0.0437858184643168,1.9089344025878914,0.9085905671451006,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,27,5,1,0.001,,0.06540162981320385,0.04379242595921883,1.905777255009057,0.9070519958192077,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,28,5,1,0.001,,0.0653069058965431,0.043726360306668766,1.9115091741649832,0.9095952342132176,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,29,5,1,0.001,,0.06535897102277188,0.04373685335824224,1.9043898575798828,0.9053997766616061,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,30,5,1,0.001,,0.06537895628488873,0.04371739983924482,1.9091604583241142,0.9082056477460809,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,31,5,1,0.001,,0.0654018036310679,0.043793657197333545,1.9117363900645488,0.9104669100860884,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,32,5,1,0.001,,0.06530696710293224,0.04365273904770255,1.9047539152457675,0.9050383899607912,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,33,5,1,0.001,,0.06525621565454803,0.04361418973618903,1.9075572056410905,0.906471164829489,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,34,5,1,0.001,,0.06528125866237908,0.043605142580540754,1.905031572409518,0.9046746978783426,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,35,5,1,0.001,,0.06526159761236615,0.04362924953202146,1.904903522064342,0.9049013378515688,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,36,5,1,0.001,,0.0655243455525733,0.04402591157118152,1.9174805252334217,0.9155425682856666,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,37,5,1,0.001,,0.06530857003064629,0.04366020571211467,1.9048093450784882,0.9049714549107171,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,38,5,1,0.001,,0.06535514720882557,0.04373468218735703,1.9045220255718187,0.9056969216123778,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,39,5,1,0.001,,0.06524325800238737,0.043598214148493505,1.9077533618421527,0.9063865202657756,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,40,5,1,0.001,,0.06563675408572758,0.044173620765500965,1.9198910607325013,0.9181733507178449,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
