test_hub,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows
NBP,fedavg,fedavg,0,90,5,2,0.001,,0.06516819553043521,0.043508536878959635,1.9063344679581073,0.9046097221497719,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,1,106,5,2,0.001,,0.06518844798821505,0.04349456310408006,1.9068799962870118,0.9047786041901956,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,2,38,5,2,0.001,,0.06520229411122978,0.0435215738645442,1.9068035740970446,0.9049300905526988,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,3,133,5,2,0.001,,0.06522099171222046,0.04357215687681431,1.9074323808094071,0.905830876013698,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,4,35,5,2,0.001,,0.06516329597787583,0.043479485922221464,1.906802764132252,0.9046333798222517,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
TTF,fedavg,fedavg,0,90,5,2,0.001,,0.0554750668591699,0.03802643951359083,5.968394051066219,2.7176292350629243,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedavg,fedavg,1,106,5,2,0.001,,0.055490242621974946,0.038041739826385375,5.968238707558455,2.718058722907907,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedavg,fedavg,2,31,5,2,0.001,,0.05550915963515372,0.03807174153168152,5.96811645377118,2.718729019829315,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedavg,fedavg,3,193,5,2,0.001,,0.05553035721358721,0.03810592635577433,5.969458824527345,2.7204987938508114,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedavg,fedavg,4,183,5,2,0.001,,0.05549489121744438,0.03801789242135054,5.968213553025643,2.717041481849854,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
NBP,fedprox,fedavg,0,25,5,2,0.001,0.01,0.06520158636080435,0.043562956306628875,1.907051798623718,0.9056449379900524,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedprox,fedavg,1,56,5,2,0.001,0.01,0.06523579276308199,0.0435965523028881,1.9067343832122807,0.9056850213635615,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedprox,fedavg,2,27,5,2,0.001,0.01,0.0651596072113967,0.04348779173515181,1.9066361827687783,0.9046106362168013,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedprox,fedavg,3,196,5,2,0.001,0.01,0.06524962361406182,0.04361919079913522,1.907020248649113,0.9060695867559848,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedprox,fedavg,4,98,5,2,0.001,0.01,0.065251043609771,0.04354968075397895,1.9070399111639695,0.9052356317852399,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
TTF,fedprox,fedavg,0,16,5,2,0.001,0.01,0.05557091617949648,0.03812277608970529,5.972090784735497,2.722063747130458,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedprox,fedavg,1,82,5,2,0.001,0.01,0.055559311225932495,0.038191768717611985,5.9691692813855015,2.723082321450963,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedprox,fedavg,2,27,5,2,0.001,0.01,0.05559848047796976,0.03823879470604852,5.96930242457686,2.724440939654995,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedprox,fedavg,3,52,5,2,0.001,0.01,0.05558058988932674,0.03822067571225775,5.968470565710579,2.7236327880533935,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fedprox,fedavg,4,64,5,2,0.001,0.01,0.05552740449920523,0.03810875682811661,5.968433374891431,2.7201446570579684,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
NBP,fednova,fednova,0,76,5,2,0.001,,0.06521054463955946,0.04350726790713967,1.9067032240696644,0.9047698639281331,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fednova,fednova,1,63,5,2,0.001,,0.06517066646711797,0.043485065828415395,1.9073466693107972,0.9049100186654683,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fednova,fednova,2,15,5,2,0.001,,0.06518115901655067,0.043516359087633044,1.9065022701469745,0.9047636804790087,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fednova,fednova,3,56,5,2,0.001,,0.06516541713216911,0.04345451073130772,1.9065308961800413,0.904147035460606,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fednova,fednova,4,169,5,2,0.001,,0.0652199769061933,0.04355045116592563,1.906712078198763,0.9052294635096466,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
TTF,fednova,fednova,0,53,5,2,0.001,,0.055471679491249246,0.03803043649274654,5.969255647814959,2.718190646169666,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fednova,fednova,1,39,5,2,0.001,,0.055546717099682244,0.038113046211516656,5.973268057204072,2.7222523190953845,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fednova,fednova,2,111,5,2,0.001,,0.05553100047637231,0.03810065501645968,5.9695968723297455,2.7203766984395408,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fednova,fednova,3,151,5,2,0.001,,0.055498720997777314,0.038046507955675296,5.967300540809103,2.717581030569298,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
TTF,fednova,fednova,4,57,5,2,0.001,,0.055548475010660146,0.0381294037158294,5.966608959360518,2.7197557073387704,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,1335
NBP,scaffold,scaffold,0,200,5,2,0.001,,0.06595965060563262,0.044103619313032284,1.9109337158049748,0.9119483247570761,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,scaffold,scaffold,1,200,5,2,0.001,,0.06544215843162415,0.0437591928672611,1.907789861562768,0.9076504872542109,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
