test_hub,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows
NBP,fedavg,fedavg,0,1,5,2,0.001,,0.07058194297729753,0.049409174325427734,1.9859359091265991,0.9952199545296239,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,2,5,2,0.001,,0.06591236613816039,0.0440173144951446,1.9116351720869056,0.9115441371481416,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,3,5,2,0.001,,0.06564189941566206,0.04381882057684394,1.9064395708181274,0.9070604425522759,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,4,5,2,0.001,,0.06541174617837751,0.04369144508290674,1.906681037793773,0.9063383383910996,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,5,5,2,0.001,,0.06536075583108372,0.04367144361391944,1.9072912692309945,0.9064851717589321,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,6,5,2,0.001,,0.06527564771439377,0.04364521088310053,1.9070671853936443,0.9064682913631065,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,7,5,2,0.001,,0.06534194861822547,0.04367882362728334,1.9068508852116366,0.9066117533619806,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,8,5,2,0.001,,0.06535555540149116,0.0437045561094214,1.90818956680318,0.9076709399871112,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,9,5,2,0.001,,0.06554995580662336,0.044029619425362064,1.9170410633029173,0.9154760575375611,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
NBP,fedavg,fedavg,0,10,5,2,0.001,,0.06520857902499752,0.043557103260331596,1.9067731752305443,0.9053422862257796,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334
