hub,date,features_file,symbol,n_agents,n_type_NoiseAgent,n_type_ValueAgent,n_type_MomentumAgent,mid_mean,mid_std,mid_min,mid_max,mid_median,spread_mean,spread_std,spread_min,spread_max,spread_median,fills_total,fills_mean_per_agent,vol_total,vol_mean_per_agent,vwap_proxy,price,target_next_price,target_next_date,log_ret_next
NBP,2020-11-02,data/simulated_trades_long/agent_features_NBP_2020-11-02.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.165999889373779,5.13700008392334,2020-11-03,-0.005629405437194812
NBP,2020-11-03,data/simulated_trades_long/agent_features_NBP_2020-11-03.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.13700008392334,5.171999931335449,2020-11-04,0.006790179811238417
NBP,2020-11-04,data/simulated_trades_long/agent_features_NBP_2020-11-04.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.171999931335449,5.426000118255615,2020-11-05,0.04794278839759003
NBP,2020-11-05,data/simulated_trades_long/agent_features_NBP_2020-11-05.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.426000118255615,5.256999969482422,2020-11-06,-0.03164171999881327
NBP,2020-11-06,data/simulated_trades_long/agent_features_NBP_2020-11-06.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.256999969482422,5.223999977111816,2020-11-09,-0.006297128439401334
NBP,2020-11-09,data/simulated_trades_long/agent_features_NBP_2020-11-09.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.223999977111816,5.23799991607666,2020-11-10,0.002676342470722348
NBP,2020-11-10,data/simulated_trades_long/agent_features_NBP_2020-11-10.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.23799991607666,5.254000186920166,2020-11-11,0.0030499967765824643
NBP,2020-11-11,data/simulated_trades_long/agent_features_NBP_2020-11-11.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.254000186920166,5.210000038146973,2020-11-12,-0.00840986375293129
NBP,2020-11-12,data/simulated_trades_long/agent_features_NBP_2020-11-12.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.210000038146973,5.302000045776367,2020-11-13,0.017504253413474835
NBP,2020-11-13,data/simulated_trades_long/agent_features_NBP_2020-11-13.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.302000045776367,5.429999828338623,2020-11-16,0.02385498583170409
