test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma
FIN,,0,0,fedavg,fedavg,0,1,5,3,0.001,,0.2810640785858118,0.2564401207878134,17.641781397851815,15.166360663553762,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
FIN,,0,0,fedavg,fedavg,0,2,5,3,0.001,,0.2448491518635325,0.21759473802853008,15.173577365871365,12.614180770781534,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
FIN,,0,0,fedavg,fedavg,0,3,5,3,0.001,,0.21647082393124228,0.1859933505349608,13.333227216353041,10.622976305112754,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
FIN,,0,0,fedavg,fedavg,0,4,5,3,0.001,,0.19173493636692668,0.158291804129037,11.814764193643951,8.934997017120493,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
FIN,,0,0,fedavg,fedavg,0,5,5,3,0.001,,0.16984574669116598,0.13188170115634043,10.532042905805508,7.381815291715081,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
FIN,,0,0,fedavg,fedavg,0,6,5,3,0.001,,0.1510441728633083,0.10784993488351606,9.464618703242316,6.003360804463255,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
FIN,,0,0,fedavg,fedavg,0,7,5,3,0.001,,0.1367270764902042,0.08986618142858036,8.667788845148175,5.003460482385651,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
FIN,,0,0,fedavg,fedavg,0,8,5,3,0.001,,0.12464616084172943,0.07661486334611003,7.9517390320230605,4.29706450672088,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
FIN,,0,0,fedavg,fedavg,0,9,5,3,0.001,,0.11691396632490506,0.0692089835271151,7.469697687625385,3.9247326915181917,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
FIN,,0,0,fedavg,fedavg,0,10,5,3,0.001,,0.11207401712248097,0.06581778561240785,7.13450350306928,3.740053674847915,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.005
