hub,date,agent_id,agent_type,best_bid,best_ask,mid,spread,n_fills,transacted_volume,avg_tx_price
NBP,2023-01-13,1,NoiseAgent,100824.0,100901.0,100862.0,77.0,0,0.0,
NBP,2023-01-13,2,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,3,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,4,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,5,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,6,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,7,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,8,NoiseAgent,101562.0,101572.0,101567.0,10.0,0,0.0,
NBP,2023-01-13,9,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,10,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,11,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,12,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,13,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,14,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,15,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,16,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,17,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,18,NoiseAgent,101699.0,101781.0,101740.0,82.0,0,0.0,
NBP,2023-01-13,19,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,20,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,21,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,22,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,23,NoiseAgent,96133.0,96471.0,96302.0,338.0,0,0.0,
NBP,2023-01-13,24,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,25,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,26,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,27,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,28,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,29,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,30,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,31,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,32,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,33,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,34,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,35,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,36,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,37,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,38,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,39,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,40,NoiseAgent,100011.0,100022.0,100016.0,11.0,0,0.0,
NBP,2023-01-13,41,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,42,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,43,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,44,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,45,NoiseAgent,99555.0,99568.0,99562.0,13.0,0,0.0,
NBP,2023-01-13,46,NoiseAgent,99655.0,99679.0,99667.0,24.0,0,0.0,
NBP,2023-01-13,47,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,48,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,49,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,50,NoiseAgent,96700.0,96702.0,96701.0,2.0,0,0.0,
NBP,2023-01-13,51,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,52,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,53,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,54,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,55,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,56,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,57,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,58,NoiseAgent,102969.0,103155.0,103062.0,186.0,0,0.0,
NBP,2023-01-13,59,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,60,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,61,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,62,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,63,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,64,NoiseAgent,94712.0,97418.0,96065.0,2706.0,0,0.0,
NBP,2023-01-13,65,NoiseAgent,101508.0,101509.0,101508.0,1.0,0,0.0,
NBP,2023-01-13,66,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,67,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,68,NoiseAgent,101506.0,101508.0,101507.0,2.0,0,0.0,
NBP,2023-01-13,69,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,70,NoiseAgent,99740.0,99749.0,99744.0,9.0,0,0.0,
NBP,2023-01-13,71,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,72,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,73,NoiseAgent,95541.0,95696.0,95618.0,155.0,0,0.0,
NBP,2023-01-13,74,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,75,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,76,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,77,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,78,NoiseAgent,96707.0,96708.0,96708.0,1.0,0,0.0,
NBP,2023-01-13,79,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,80,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,81,NoiseAgent,94697.0,94712.0,94704.0,15.0,0,0.0,
NBP,2023-01-13,82,NoiseAgent,99025.0,99029.0,99027.0,4.0,0,0.0,
NBP,2023-01-13,83,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,84,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,85,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,86,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,87,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,88,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,89,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,90,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,91,NoiseAgent,99235.0,99237.0,99236.0,2.0,0,0.0,
NBP,2023-01-13,92,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,93,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,94,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,95,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,96,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,97,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,98,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,99,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,100,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,101,NoiseAgent,98108.0,98338.0,98223.0,230.0,0,0.0,
NBP,2023-01-13,102,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,103,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,104,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,105,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,106,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,107,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,108,NoiseAgent,100824.0,100828.0,100826.0,4.0,0,0.0,
NBP,2023-01-13,109,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,110,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,111,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,112,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,113,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,114,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,115,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,116,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,117,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,118,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,119,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,120,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,121,NoiseAgent,99143.0,99144.0,99144.0,1.0,0,0.0,
NBP,2023-01-13,122,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,123,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,124,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,125,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,126,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,127,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,128,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,129,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,130,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,131,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,132,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,133,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,134,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,135,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,136,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,137,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,138,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,139,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,140,NoiseAgent,99821.0,99965.0,99893.0,144.0,0,0.0,
NBP,2023-01-13,141,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,142,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,143,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,144,NoiseAgent,,,,,0,0.0,
NBP,2023-01-13,145,NoiseAgent,,,,,0,0.0,
