hub,date,agent_id,agent_type,best_bid,best_ask,mid,spread,n_fills,transacted_volume,avg_tx_price
TTF,2026-01-14,1,NoiseAgent,316073.0,316150.0,316112.0,77.0,0,0.0,
TTF,2026-01-14,2,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,3,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,4,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,5,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,6,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,7,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,8,NoiseAgent,319650.0,319651.0,319650.0,1.0,0,0.0,
TTF,2026-01-14,9,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,10,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,11,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,12,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,13,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,14,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,15,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,16,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,17,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,18,NoiseAgent,319649.0,320028.0,319838.0,379.0,0,0.0,
TTF,2026-01-14,19,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,20,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,21,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,22,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,23,NoiseAgent,315374.0,315377.0,315376.0,3.0,0,0.0,
TTF,2026-01-14,24,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,25,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,26,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,27,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,28,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,29,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,30,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,31,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,32,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,33,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,34,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,35,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,36,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,37,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,38,NoiseAgent,,,,,0,0.0,
TTF,2026-01-14,39,NoiseAgent,,,,,0,0.0,
